id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
34625131,Portage Park,41.94624,-87.75397,Entire home/apt,5,1 bath,2,2,$70.00 ,2,30,2,2,30,30,2,30
34625919,Near West Side,41.87202,-87.68713,Entire home/apt,6,1 bath,3,4,$161.00 ,1,1125,2,3,1125,1125,2.1,1125
34647251,Near North Side,41.892509,-87.616173,Hotel room,4,1 private bath,1,4,$152.00 ,1,28,1,2,999,999,1,999
34648201,Near North Side,41.892509,-87.616173,Hotel room,1,1 shared bath,1,1,$34.00 ,1,365,1,2,999,999,1,999
34656149,Irving Park,41.96038,-87.70027,Entire home/apt,6,1 bath,2,2,$60.00 ,3,7,3,3,1125,1125,3,1125
34677756,Logan Square,41.91607,-87.70546,Private room,2,1 shared bath,1,1,$75.00 ,2,4,2,2,4,4,2,4
34684299,Near North Side,41.89848,-87.62176,Entire home/apt,2,1 bath,1,1,$140.00 ,32,1124,32,32,1124,1124,32,1124
34685327,Near North Side,41.88914,-87.6354,Entire home/apt,2,1 bath,1,1,$185.00 ,32,1124,32,32,1124,1124,32,1124
34711416,Near North Side,41.89216,-87.62972,Entire home/apt,4,1 bath,1,2,$240.00 ,13,1125,13,13,1125,1125,13,1125
34711681,Logan Square,41.92286,-87.69829,Entire home/apt,2,1 bath,1,1,$120.00 ,30,1125,30,30,1125,1125,30,1125
34714722,Humboldt Park,41.91307,-87.7042,Entire home/apt,3,1 bath,1,1,$125.00 ,1,1125,2,2,1125,1125,2,1125
34719701,Portage Park,41.96144,-87.77439,Entire home/apt,2,1 bath,1,1,$128.00 ,1,15,1,4,3,15,3,14.8
34722288,Near North Side,41.89846,-87.621681,Entire home/apt,2,1.5 baths,1,1,$125.00 ,32,1124,32,32,1124,1124,32,1124
34748305,North Park,41.98464,-87.71787,Entire home/apt,4,1 bath,1,2,$83.00 ,60,100,60,60,1125,1125,60,1125
34748986,Near North Side,41.89862,-87.62173,Entire home/apt,2,1 bath,1,1,$145.00 ,32,1124,32,32,1124,1124,32,1124
34749167,Hyde Park,41.80091,-87.59406,Entire home/apt,4,2 baths,2,3,$125.00 ,6,1125,6,6,1125,1125,6,1125
34750745,Near North Side,41.90638,-87.62817,Entire home/apt,4,1 bath,2,2,$155.00 ,1,1125,2,2,1125,1125,2,1125
34774170,Near West Side,41.87878,-87.6791,Entire home/apt,10,3.5 baths,5,5,$718.00 ,1,1125,2,4,3,1125,3,973.4
34781183,North Park,41.9841,-87.71603,Private room,2,1 private bath,,1,$166.00 ,1,20,2,2,1125,1125,2,1125
34781915,North Park,41.98242,-87.71792,Private room,2,1 shared bath,,1,$119.00 ,1,1125,2,2,1125,1125,2,1125
34782516,North Park,41.982,-87.71611,Entire home/apt,5,2 baths,2,2,$295.00 ,2,1125,2,2,1125,1125,2,1125
34784502,Near North Side,41.892509,-87.616173,Hotel room,1,1 shared bath,1,1,$34.00 ,1,365,1,2,999,999,1,999
34785627,Near North Side,41.8923,-87.627335,Hotel room,1,1 shared bath,1,2,$34.00 ,1,1125,1,2,999,999,1,999
34785638,Near North Side,41.8923,-87.627335,Hotel room,1,1 shared bath,1,2,$34.00 ,1,1125,1,2,999,999,1,999
34788331,Edgewater,41.9921,-87.66001,Entire home/apt,7,1 bath,2,4,$250.00 ,2,14,2,2,14,14,2,14
34789562,Lower West Side,41.85601,-87.67138,Entire home/apt,6,1 bath,2,2,$79.00 ,30,180,30,30,180,180,30,180
34807624,Logan Square,41.91823,-87.70937,Entire home/apt,4,1 bath,2,2,$156.00 ,1,1125,2,4,3,1125,3,966.1
34809632,Woodlawn,41.78371,-87.6131,Private room,1,1 shared bath,1,1,$42.00 ,2,1125,2,2,1125,1125,2,1125
34816864,Bridgeport,41.83016,-87.64557,Entire home/apt,8,1.5 baths,5,5,$366.00 ,30,1125,30,30,1125,1125,30,1125
34817544,West Town,41.90287,-87.67223,Entire home/apt,4,1 bath,,1,$81.00 ,1,1125,2,2,1125,1125,2,1125
34818035,Near West Side,41.8709,-87.68762,Entire home/apt,6,3 baths,3,3,$110.00 ,1,1125,2,4,3,1125,3,968.5
34819360,Pullman,41.6882,-87.60491,Entire home/apt,4,1 bath,2,2,$120.00 ,2,14,2,2,14,14,2,14
34819528,Douglas,41.8258,-87.61993,Entire home/apt,4,1 bath,1,2,$98.00 ,1,21,2,2,1125,1125,2,1125
34861726,Lincoln Park,41.9319,-87.66491,Entire home/apt,2,1 bath,,1,$70.00 ,1,31,1,1,31,31,1,31
34863400,Lower West Side,41.85862,-87.67896,Entire home/apt,4,1 bath,2,2,$200.00 ,2,365,2,2,1125,1125,2,1125
34867499,Lincoln Park,41.93141,-87.66519,Entire home/apt,2,1 bath,,1,$64.00 ,1,30,2,2,30,30,2,30
34887882,Near North Side,41.89803,-87.62711,Entire home/apt,2,1 bath,1,1,$168.00 ,30,1125,32,730,1125,1125,704.7,1125
34888974,North Center,41.94043,-87.68306,Entire home/apt,6,1 bath,2,3,$114.00 ,2,1125,2,2,1125,1125,2,1125
34890754,West Town,41.89564,-87.65398,Entire home/apt,14,3.5 baths,4,7,"$2,750.00 ",1,1125,2,2,1125,1125,2,1125
34902785,West Town,41.91101,-87.67559,Entire home/apt,4,1 bath,1,1,$80.00 ,31,60,30,31,1125,1125,30.3,1125
34909897,Lincoln Park,41.9324,-87.66509,Entire home/apt,2,1 bath,,,$67.00 ,1,30,2,2,30,30,2,30
34913110,Armour Square,41.85349,-87.63398,Entire home/apt,12,2 baths,4,8,$339.00 ,1,365,2,2,1125,1125,2,1125
34913380,Armour Square,41.85311,-87.63203,Entire home/apt,16,2 baths,4,11,$339.00 ,1,365,2,2,1125,1125,2,1125
34931784,West Town,41.89763,-87.68022,Entire home/apt,4,1 bath,2,2,$250.00 ,1,1125,2,2,1125,1125,2,1125
34932141,Lake View,41.95344,-87.67022,Entire home/apt,6,1 bath,3,5,$129.00 ,2,15,2,2,1125,1125,2,1125
34944861,Near North Side,41.89846,-87.62186,Entire home/apt,2,1 bath,1,1,$120.00 ,32,1124,32,32,1124,1124,32,1124
34944912,Lake View,41.95092,-87.64727,Entire home/apt,16,3 baths,9,9,"$1,327.00 ",3,1125,3,3,1125,1125,3,1125
34945605,Near North Side,41.8923,-87.627335,Hotel room,2,1 private bath,1,1,$104.00 ,1,1125,1,2,999,999,1,999
34970066,Near South Side,41.85494,-87.62571,Entire home/apt,6,2 baths,2,4,$146.00 ,2,1125,2,4,1125,1125,2.3,1125
34975034,Near North Side,41.89315,-87.61506,Entire home/apt,2,1 bath,1,1,$85.00 ,32,365,32,32,365,365,32,365
34975978,Irving Park,41.95911,-87.70584,Entire home/apt,4,1 bath,3,3,$154.00 ,4,1125,4,4,1125,1125,4,1125
34977961,Logan Square,41.92866,-87.69473,Entire home/apt,4,1 bath,1,2,$89.00 ,2,28,2,4,28,28,2,28
35004098,Logan Square,41.91904,-87.67433,Entire home/apt,6,3.5 baths,3,3,$575.00 ,4,360,4,4,360,360,4,360
35032890,West Town,41.89239,-87.67986,Entire home/apt,2,2 baths,2,2,$75.00 ,2,1125,2,2,1125,1125,2,1125
35034266,Edgewater,41.98612,-87.66991,Entire home/apt,3,1 bath,1,1,$88.00 ,2,1125,2,2,1125,1125,2,1125
35036581,West Town,41.901,-87.66607,Entire home/apt,6,1.5 baths,2,2,$105.00 ,200,1125,200,200,1125,1125,200,1125
35039966,Rogers Park,42.01375,-87.68298,Entire home/apt,8,2 baths,3,4,$209.00 ,3,90,3,3,1125,1125,3,1125
35040637,Bridgeport,41.83591,-87.64562,Entire home/apt,2,1 bath,1,1,$96.00 ,2,25,2,2,1125,1125,2,1125
35049742,Logan Square,41.92299,-87.70296,Entire home/apt,4,1 bath,2,3,$106.00 ,2,1125,2,2,1125,1125,2,1125
35056266,Lincoln Square,41.97526,-87.67501,Private room,2,1 shared bath,1,1,$60.00 ,1,1125,1,1,1125,1125,1,1125
35060034,West Town,41.89499,-87.65478,Entire home/apt,16,6 baths,9,13,"$4,500.00 ",1,1125,2,2,1125,1125,2,1125
35069099,Near North Side,41.89193,-87.63558,Entire home/apt,2,1 bath,1,1,$165.00 ,32,1125,32,32,1125,1125,32,1125
35095234,West Englewood,41.776,-87.65544,Private room,3,2 shared baths,1,2,$42.00 ,2,1125,2,2,1125,1125,2,1125
35095398,Near West Side,41.86105,-87.65466,Entire home/apt,3,1 bath,1,1,"$1,000.00 ",3,5,3,3,5,5,3,5
35129146,Austin,41.88428,-87.75062,Entire home/apt,8,1 bath,3,,$250.00 ,1,1125,2,2,1125,1125,2,1125
35132439,Near West Side,41.8839,-87.68541,Entire home/apt,5,1 bath,2,1,$100.00 ,1,1125,2,2,1125,1125,2,1125
35149761,East Garfield Park,41.88563,-87.70512,Entire home/apt,6,1 bath,2,2,$92.00 ,2,14,2,2,1125,1125,2,1125
35151133,North Center,41.94097,-87.67943,Entire home/apt,4,1 bath,3,3,$146.00 ,3,30,2,3,30,30,2.7,30
35153204,Loop,41.87123,-87.63128,Entire home/apt,6,2 baths,3,3,$400.00 ,2,1125,2,2,1125,1125,2,1125
35158630,West Town,41.88983,-87.64413,Entire home/apt,4,1 bath,2,2,$120.00 ,2,1125,2,2,1125,1125,2,1125
35182808,Logan Square,41.92162,-87.70129,Entire home/apt,4,1 bath,1,1,$102.00 ,1,1125,2,2,1125,1125,2,1125
35183040,Near North Side,41.90939,-87.63724,Entire home/apt,16,4 baths,8,13,"$1,290.00 ",1,1125,1,5,3,1125,3,978.3
35195852,Humboldt Park,41.91068,-87.71291,Entire home/apt,4,1 bath,3,4,$200.00 ,1,15,2,2,15,15,2,15
35212437,West Town,41.90869,-87.67498,Entire home/apt,16,2 baths,5,9,$476.00 ,2,1125,2,3,1125,1125,2,1125
35217934,South Shore,41.75824,-87.55608,Private room,1,1 shared bath,1,1,$45.00 ,1,1125,2,2,1125,1125,2,1125
35225934,Near West Side,41.87085,-87.66383,Private room,2,1 shared bath,1,1,$49.00 ,1,31,2,2,31,31,2,31
35226300,Near West Side,41.87166,-87.66414,Private room,2,1 shared bath,1,1,$49.00 ,1,45,2,2,45,45,2,45
35229142,Austin,41.88399,-87.76509,Private room,1,3 shared baths,1,1,$40.00 ,7,1125,7,7,1125,1125,7,1125
35230615,Logan Square,41.92803,-87.69757,Entire home/apt,6,1 bath,1,1,$163.00 ,2,1125,2,2,1125,1125,2,1125
35256357,Near North Side,41.9012,-87.62585,Entire home/apt,4,2.5 baths,2,2,$400.00 ,2,1125,2,2,1125,1125,2,1125
35257848,Near North Side,41.89913,-87.62672,Entire home/apt,4,2.5 baths,2,3,$625.00 ,2,1125,2,2,1125,1125,2,1125
35258128,West Ridge,42.01686,-87.6942,Private room,2,1 shared bath,1,1,$50.00 ,3,1125,3,3,1125,1125,3,1125
35258747,Near North Side,41.90066,-87.62649,Entire home/apt,6,3.5 baths,3,4,$700.00 ,2,1125,2,2,1125,1125,2,1125
35259050,Near North Side,41.8995,-87.6248,Entire home/apt,6,2.5 baths,3,4,"$1,000.00 ",2,1125,2,2,1125,1125,2,1125
35262326,Near West Side,41.87145,-87.66085,Entire home/apt,4,1 bath,2,2,$144.00 ,2,1125,2,2,1125,1125,2,1125
35265884,Beverly,41.6997,-87.6691,Entire home/apt,4,1 bath,2,2,$159.00 ,2,7,2,2,1125,1125,2,1125
